timestamp,container,cpu_percent,memory_usage,memory_limit,memory_percent
2026-09-24T03:22:34-03:00,scenario_2-service_a-1,73.30%,118MiB,256MiB,46.09%
2026-09-24T03:22:34-03:00,scenario_2-service_b-1,13.98%,108MiB,256MiB,42.19%
2026-09-24T03:22:39-03:00,scenario_2-service_a-1,100.63%,118.8MiB,256MiB,46.42%
2026-09-24T03:22:39-03:00,scenario_2-service_b-1,19.09%,108.2MiB,256MiB,42.27%
2026-09-24T03:22:44-03:00,scenario_2-service_a-1,99.98%,119.1MiB,256MiB,46.51%
2026-09-24T03:22:44-03:00,scenario_2-service_b-1,46.94%,107.9MiB,256MiB,42.14%
2026-09-24T03:22:49-03:00,scenario_2-service_a-1,100.86%,118.9MiB,256MiB,46.44%
2026-09-24T03:22:49-03:00,scenario_2-service_b-1,19.39%,108.5MiB,256MiB,42.36%
2026-09-24T03:22:54-03:00,scenario_2-service_a-1,100.08%,131.2MiB,256MiB,51.25%
2026-09-24T03:22:54-03:00,scenario_2-service_b-1,46.66%,107.9MiB,256MiB,42.15%
2026-09-24T03:22:59-03:00,scenario_2-service_a-1,100.43%,132.1MiB,256MiB,51.61%
2026-09-24T03:22:59-03:00,scenario_2-service_b-1,21.45%,111.8MiB,256MiB,43.68%
2026-09-24T03:23:05-03:00,scenario_2-service_a-1,99.72%,138.1MiB,256MiB,53.94%
2026-09-24T03:23:05-03:00,scenario_2-service_b-1,17.64%,111.6MiB,256MiB,43.58%
2026-09-24T03:23:10-03:00,scenario_2-service_a-1,100.29%,124.6MiB,256MiB,48.66%
2026-09-24T03:23:10-03:00,scenario_2-service_b-1,17.34%,111.1MiB,256MiB,43.41%
2026-09-24T03:23:15-03:00,scenario_2-service_a-1,99.14%,138MiB,256MiB,53.92%
2026-09-24T03:23:15-03:00,scenario_2-service_b-1,20.46%,111.3MiB,256MiB,43.47%
2026-09-24T03:23:20-03:00,scenario_2-service_a-1,100.68%,124.9MiB,256MiB,48.79%
2026-09-24T03:23:20-03:00,scenario_2-service_b-1,45.84%,111.6MiB,256MiB,43.61%
2026-09-24T03:23:25-03:00,scenario_2-service_a-1,102.47%,134.8MiB,256MiB,52.66%
2026-09-24T03:23:25-03:00,scenario_2-service_b-1,21.08%,110.8MiB,256MiB,43.29%
2026-09-24T03:23:30-03:00,scenario_2-service_a-1,100.09%,138.3MiB,256MiB,54.04%
2026-09-24T03:23:30-03:00,scenario_2-service_b-1,17.85%,111.3MiB,256MiB,43.48%
2026-09-24T03:23:35-03:00,scenario_2-service_a-1,99.71%,137.8MiB,256MiB,53.84%
2026-09-24T03:23:35-03:00,scenario_2-service_b-1,18.85%,113.3MiB,256MiB,44.26%
2026-09-24T03:23:40-03:00,scenario_2-service_a-1,100.18%,124.6MiB,256MiB,48.69%
2026-09-24T03:23:40-03:00,scenario_2-service_b-1,41.32%,111.6MiB,256MiB,43.61%
2026-09-24T03:23:45-03:00,scenario_2-service_a-1,100.70%,124.5MiB,256MiB,48.63%
2026-09-24T03:23:45-03:00,scenario_2-service_b-1,44.31%,111.7MiB,256MiB,43.64%
2026-09-24T03:23:50-03:00,scenario_2-service_a-1,100.41%,125MiB,256MiB,48.84%
2026-09-24T03:23:50-03:00,scenario_2-service_b-1,20.46%,111.8MiB,256MiB,43.65%
2026-09-24T03:23:55-03:00,scenario_2-service_a-1,99.02%,124.9MiB,256MiB,48.79%
2026-09-24T03:23:55-03:00,scenario_2-service_b-1,20.20%,111MiB,256MiB,43.36%
2026-09-24T03:24:01-03:00,scenario_2-service_a-1,100.88%,124.9MiB,256MiB,48.80%
2026-09-24T03:24:01-03:00,scenario_2-service_b-1,36.65%,111.4MiB,256MiB,43.50%
2026-09-24T03:24:06-03:00,scenario_2-service_a-1,100.29%,134.9MiB,256MiB,52.71%
2026-09-24T03:24:06-03:00,scenario_2-service_b-1,45.97%,111.1MiB,256MiB,43.41%
2026-09-24T03:24:11-03:00,scenario_2-service_a-1,100.51%,134.2MiB,256MiB,52.41%
2026-09-24T03:24:11-03:00,scenario_2-service_b-1,16.60%,111.6MiB,256MiB,43.61%
2026-09-24T03:24:16-03:00,scenario_2-service_a-1,99.58%,137.6MiB,256MiB,53.76%
2026-09-24T03:24:16-03:00,scenario_2-service_b-1,16.13%,111.3MiB,256MiB,43.49%
2026-09-24T03:24:21-03:00,scenario_2-service_a-1,100.48%,125.2MiB,256MiB,48.90%
2026-09-24T03:24:21-03:00,scenario_2-service_b-1,17.32%,111.8MiB,256MiB,43.68%
2026-09-24T03:24:26-03:00,scenario_2-service_a-1,100.46%,124.7MiB,256MiB,48.71%
2026-09-24T03:24:26-03:00,scenario_2-service_b-1,30.70%,121MiB,256MiB,47.28%
2026-09-24T03:24:31-03:00,scenario_2-service_a-1,100.04%,124.7MiB,256MiB,48.70%
2026-09-24T03:24:31-03:00,scenario_2-service_b-1,46.22%,111.2MiB,256MiB,43.44%
2026-09-24T03:24:36-03:00,scenario_2-service_a-1,100.57%,128.8MiB,256MiB,50.29%
2026-09-24T03:24:36-03:00,scenario_2-service_b-1,40.83%,111.2MiB,256MiB,43.45%
2026-09-24T03:24:41-03:00,scenario_2-service_a-1,100.18%,133.7MiB,256MiB,52.23%
2026-09-24T03:24:41-03:00,scenario_2-service_b-1,20.66%,111.4MiB,256MiB,43.53%
2026-09-24T03:24:46-03:00,scenario_2-service_a-1,23.55%,123.5MiB,256MiB,48.24%
2026-09-24T03:24:46-03:00,scenario_2-service_b-1,20.96%,111.5MiB,256MiB,43.54%
