timestamp,container,cpu_percent,memory_usage,memory_limit,memory_percent
2026-09-24T02:20:34-03:00,scenario_1-service_a-1,20.23%,108.2MiB,256MiB,42.25%
2026-09-24T02:20:34-03:00,scenario_1-service_b-1,27.49%,97.08MiB,256MiB,37.92%
2026-09-24T02:20:39-03:00,scenario_1-service_a-1,80.08%,108.6MiB,256MiB,42.44%
2026-09-24T02:20:39-03:00,scenario_1-service_b-1,26.53%,97.44MiB,256MiB,38.06%
2026-09-24T02:20:44-03:00,scenario_1-service_a-1,100.62%,122MiB,256MiB,47.67%
2026-09-24T02:20:44-03:00,scenario_1-service_b-1,35.02%,98.87MiB,256MiB,38.62%
2026-09-24T02:20:49-03:00,scenario_1-service_a-1,100.91%,114.9MiB,256MiB,44.90%
2026-09-24T02:20:49-03:00,scenario_1-service_b-1,29.29%,99.11MiB,256MiB,38.72%
2026-09-24T02:20:54-03:00,scenario_1-service_a-1,100.07%,115.1MiB,256MiB,44.97%
2026-09-24T02:20:54-03:00,scenario_1-service_b-1,60.58%,99.06MiB,256MiB,38.69%
2026-09-24T02:20:59-03:00,scenario_1-service_a-1,100.99%,120.9MiB,256MiB,47.24%
2026-09-24T02:20:59-03:00,scenario_1-service_b-1,29.66%,99.16MiB,256MiB,38.74%
2026-09-24T02:21:05-03:00,scenario_1-service_a-1,100.30%,115.4MiB,256MiB,45.07%
2026-09-24T02:21:05-03:00,scenario_1-service_b-1,55.20%,99.63MiB,256MiB,38.92%
2026-09-24T02:21:10-03:00,scenario_1-service_a-1,100.29%,115.4MiB,256MiB,45.09%
2026-09-24T02:21:10-03:00,scenario_1-service_b-1,64.59%,99.06MiB,256MiB,38.69%
2026-09-24T02:21:15-03:00,scenario_1-service_a-1,101.18%,124.8MiB,256MiB,48.75%
2026-09-24T02:21:15-03:00,scenario_1-service_b-1,42.22%,99.22MiB,256MiB,38.76%
2026-09-24T02:21:20-03:00,scenario_1-service_a-1,101.03%,115.5MiB,256MiB,45.11%
2026-09-24T02:21:20-03:00,scenario_1-service_b-1,29.24%,100.4MiB,256MiB,39.22%
2026-09-24T02:21:25-03:00,scenario_1-service_a-1,100.83%,115.2MiB,256MiB,45.00%
2026-09-24T02:21:25-03:00,scenario_1-service_b-1,33.80%,100.7MiB,256MiB,39.34%
2026-09-24T02:21:30-03:00,scenario_1-service_a-1,101.29%,124.2MiB,256MiB,48.51%
2026-09-24T02:21:30-03:00,scenario_1-service_b-1,37.18%,100.7MiB,256MiB,39.35%
2026-09-24T02:21:35-03:00,scenario_1-service_a-1,99.86%,115MiB,256MiB,44.94%
2026-09-24T02:21:35-03:00,scenario_1-service_b-1,31.40%,102.3MiB,256MiB,39.97%
2026-09-24T02:21:40-03:00,scenario_1-service_a-1,100.67%,115MiB,256MiB,44.91%
2026-09-24T02:21:40-03:00,scenario_1-service_b-1,56.36%,113.1MiB,256MiB,44.19%
2026-09-24T02:21:45-03:00,scenario_1-service_a-1,99.88%,124.3MiB,256MiB,48.55%
2026-09-24T02:21:45-03:00,scenario_1-service_b-1,67.54%,100.7MiB,256MiB,39.32%
2026-09-24T02:21:50-03:00,scenario_1-service_a-1,102.30%,128.5MiB,256MiB,50.20%
2026-09-24T02:21:50-03:00,scenario_1-service_b-1,65.06%,104.3MiB,256MiB,40.74%
2026-09-24T02:21:56-03:00,scenario_1-service_a-1,101.04%,115.4MiB,256MiB,45.08%
2026-09-24T02:21:56-03:00,scenario_1-service_b-1,42.52%,104.2MiB,256MiB,40.71%
2026-09-24T02:22:01-03:00,scenario_1-service_a-1,101.71%,115.3MiB,256MiB,45.02%
2026-09-24T02:22:01-03:00,scenario_1-service_b-1,37.26%,104.2MiB,256MiB,40.70%
2026-09-24T02:22:06-03:00,scenario_1-service_a-1,101.09%,127.3MiB,256MiB,49.74%
2026-09-24T02:22:06-03:00,scenario_1-service_b-1,36.86%,104.7MiB,256MiB,40.88%
2026-09-24T02:22:11-03:00,scenario_1-service_a-1,101.00%,115.2MiB,256MiB,45.01%
2026-09-24T02:22:11-03:00,scenario_1-service_b-1,28.73%,104.4MiB,256MiB,40.78%
2026-09-24T02:22:16-03:00,scenario_1-service_a-1,100.81%,115.5MiB,256MiB,45.10%
2026-09-24T02:22:16-03:00,scenario_1-service_b-1,40.80%,111.3MiB,256MiB,43.48%
2026-09-24T02:22:21-03:00,scenario_1-service_a-1,101.00%,127.1MiB,256MiB,49.64%
2026-09-24T02:22:21-03:00,scenario_1-service_b-1,63.20%,117.3MiB,256MiB,45.82%
2026-09-24T02:22:26-03:00,scenario_1-service_a-1,101.01%,115.6MiB,256MiB,45.14%
2026-09-24T02:22:26-03:00,scenario_1-service_b-1,55.40%,103.9MiB,256MiB,40.61%
2026-09-24T02:22:31-03:00,scenario_1-service_a-1,100.22%,115.5MiB,256MiB,45.12%
2026-09-24T02:22:31-03:00,scenario_1-service_b-1,66.06%,104.3MiB,256MiB,40.73%
2026-09-24T02:22:36-03:00,scenario_1-service_a-1,101.42%,124.6MiB,256MiB,48.68%
2026-09-24T02:22:36-03:00,scenario_1-service_b-1,46.66%,104.7MiB,256MiB,40.89%
2026-09-24T02:22:41-03:00,scenario_1-service_a-1,100.82%,127.3MiB,256MiB,49.74%
2026-09-24T02:22:41-03:00,scenario_1-service_b-1,44.24%,113.8MiB,256MiB,44.44%
2026-09-24T02:22:47-03:00,scenario_1-service_a-1,20.87%,114.1MiB,256MiB,44.59%
2026-09-24T02:22:47-03:00,scenario_1-service_b-1,0.04%,104MiB,256MiB,40.64%
