timestamp,pod,container,cpu_millicores,mem_mib
2026-09-24T02:09:39-03:00,service-a-79689f88cb-jhdgb,service-a,992,123
2026-09-24T02:09:39-03:00,service-b-b9d464c6d-gpckh,service-b,348,107
2026-09-24T02:09:42-03:00,service-a-79689f88cb-jhdgb,service-a,995,123
2026-09-24T02:09:42-03:00,service-b-b9d464c6d-gpckh,service-b,347,106
2026-09-24T02:09:46-03:00,service-a-79689f88cb-jhdgb,service-a,995,123
2026-09-24T02:09:46-03:00,service-b-b9d464c6d-gpckh,service-b,347,106
2026-09-24T02:09:49-03:00,service-a-79689f88cb-jhdgb,service-a,995,123
2026-09-24T02:09:49-03:00,service-b-b9d464c6d-gpckh,service-b,347,106
2026-09-24T02:09:52-03:00,service-a-79689f88cb-jhdgb,service-a,995,123
2026-09-24T02:09:52-03:00,service-b-b9d464c6d-gpckh,service-b,347,106
2026-09-24T02:09:55-03:00,service-a-79689f88cb-jhdgb,service-a,995,123
2026-09-24T02:09:55-03:00,service-b-b9d464c6d-gpckh,service-b,347,106
2026-09-24T02:09:58-03:00,service-a-79689f88cb-jhdgb,service-a,997,122
2026-09-24T02:09:58-03:00,service-b-b9d464c6d-gpckh,service-b,346,106
2026-09-24T02:10:01-03:00,service-a-79689f88cb-jhdgb,service-a,997,122
2026-09-24T02:10:01-03:00,service-b-b9d464c6d-gpckh,service-b,346,106
2026-09-24T02:10:04-03:00,service-a-79689f88cb-jhdgb,service-a,997,122
2026-09-24T02:10:04-03:00,service-b-b9d464c6d-gpckh,service-b,346,106
2026-09-24T02:10:07-03:00,service-a-79689f88cb-jhdgb,service-a,997,122
2026-09-24T02:10:07-03:00,service-b-b9d464c6d-gpckh,service-b,346,106
2026-09-24T02:10:10-03:00,service-a-79689f88cb-jhdgb,service-a,997,122
2026-09-24T02:10:10-03:00,service-b-b9d464c6d-gpckh,service-b,346,106
