timestamp,container,cpu_percent,memory_usage,memory_limit,memory_percent
2026-09-24T02:52:35-03:00,scenario_3-service_a-1,21.98%,111.4MiB,256MiB,43.52%
2026-09-24T02:52:35-03:00,scenario_3-service_b-1,15.23%,102.6MiB,256MiB,40.07%
2026-09-24T02:52:40-03:00,scenario_3-service_a-1,88.75%,111.3MiB,256MiB,43.49%
2026-09-24T02:52:40-03:00,scenario_3-service_b-1,30.59%,102.8MiB,256MiB,40.14%
2026-09-24T02:52:45-03:00,scenario_3-service_a-1,100.69%,123.9MiB,256MiB,48.42%
2026-09-24T02:52:45-03:00,scenario_3-service_b-1,47.12%,103.3MiB,256MiB,40.34%
2026-09-24T02:52:50-03:00,scenario_3-service_a-1,101.16%,116.2MiB,256MiB,45.39%
2026-09-24T02:52:50-03:00,scenario_3-service_b-1,40.77%,104.7MiB,256MiB,40.89%
2026-09-24T02:52:55-03:00,scenario_3-service_a-1,100.22%,117.3MiB,256MiB,45.84%
2026-09-24T02:52:55-03:00,scenario_3-service_b-1,37.79%,106.4MiB,256MiB,41.58%
2026-09-24T02:53:00-03:00,scenario_3-service_a-1,100.62%,127.2MiB,256MiB,49.69%
2026-09-24T02:53:00-03:00,scenario_3-service_b-1,48.64%,106.7MiB,256MiB,41.68%
2026-09-24T02:53:05-03:00,scenario_3-service_a-1,100.52%,117.8MiB,256MiB,46.00%
2026-09-24T02:53:05-03:00,scenario_3-service_b-1,30.60%,106.6MiB,256MiB,41.64%
2026-09-24T02:53:10-03:00,scenario_3-service_a-1,100.38%,117.3MiB,256MiB,45.84%
2026-09-24T02:53:10-03:00,scenario_3-service_b-1,34.78%,107.5MiB,256MiB,41.99%
2026-09-24T02:53:16-03:00,scenario_3-service_a-1,101.08%,117.6MiB,256MiB,45.95%
2026-09-24T02:53:16-03:00,scenario_3-service_b-1,33.15%,106.4MiB,256MiB,41.57%
2026-09-24T02:53:21-03:00,scenario_3-service_a-1,100.94%,130.7MiB,256MiB,51.06%
2026-09-24T02:53:21-03:00,scenario_3-service_b-1,30.41%,106.3MiB,256MiB,41.52%
2026-09-24T02:53:26-03:00,scenario_3-service_a-1,100.52%,118MiB,256MiB,46.08%
2026-09-24T02:53:26-03:00,scenario_3-service_b-1,41.68%,106.4MiB,256MiB,41.57%
2026-09-24T02:53:31-03:00,scenario_3-service_a-1,100.53%,117.8MiB,256MiB,46.02%
2026-09-24T02:53:31-03:00,scenario_3-service_b-1,42.16%,110.7MiB,256MiB,43.26%
2026-09-24T02:53:36-03:00,scenario_3-service_a-1,100.86%,119.3MiB,256MiB,46.60%
2026-09-24T02:53:36-03:00,scenario_3-service_b-1,41.00%,106.6MiB,256MiB,41.63%
2026-09-24T02:53:41-03:00,scenario_3-service_a-1,100.80%,117.3MiB,256MiB,45.84%
2026-09-24T02:53:41-03:00,scenario_3-service_b-1,38.36%,106.5MiB,256MiB,41.59%
2026-09-24T02:53:46-03:00,scenario_3-service_a-1,101.16%,117.5MiB,256MiB,45.91%
2026-09-24T02:53:46-03:00,scenario_3-service_b-1,33.92%,106.7MiB,256MiB,41.67%
2026-09-24T02:53:51-03:00,scenario_3-service_a-1,101.09%,117.6MiB,256MiB,45.94%
2026-09-24T02:53:51-03:00,scenario_3-service_b-1,33.69%,105.7MiB,256MiB,41.28%
2026-09-24T02:53:56-03:00,scenario_3-service_a-1,100.81%,131MiB,256MiB,51.17%
2026-09-24T02:53:56-03:00,scenario_3-service_b-1,42.54%,106.2MiB,256MiB,41.48%
2026-09-24T02:54:01-03:00,scenario_3-service_a-1,100.76%,117.6MiB,256MiB,45.94%
2026-09-24T02:54:01-03:00,scenario_3-service_b-1,30.49%,107.9MiB,256MiB,42.15%
2026-09-24T02:54:07-03:00,scenario_3-service_a-1,100.59%,117.7MiB,256MiB,45.96%
2026-09-24T02:54:07-03:00,scenario_3-service_b-1,48.41%,107.9MiB,256MiB,42.14%
2026-09-24T02:54:12-03:00,scenario_3-service_a-1,100.97%,117.2MiB,256MiB,45.78%
2026-09-24T02:54:12-03:00,scenario_3-service_b-1,39.58%,108.1MiB,256MiB,42.24%
2026-09-24T02:54:17-03:00,scenario_3-service_a-1,101.00%,117.2MiB,256MiB,45.77%
2026-09-24T02:54:17-03:00,scenario_3-service_b-1,32.07%,110.8MiB,256MiB,43.26%
2026-09-24T02:54:22-03:00,scenario_3-service_a-1,100.53%,117.4MiB,256MiB,45.85%
2026-09-24T02:54:22-03:00,scenario_3-service_b-1,44.57%,107.8MiB,256MiB,42.12%
2026-09-24T02:54:27-03:00,scenario_3-service_a-1,101.16%,126.7MiB,256MiB,49.49%
2026-09-24T02:54:27-03:00,scenario_3-service_b-1,36.59%,107.5MiB,256MiB,42.01%
2026-09-24T02:54:32-03:00,scenario_3-service_a-1,101.08%,126.4MiB,256MiB,49.38%
2026-09-24T02:54:32-03:00,scenario_3-service_b-1,29.12%,107.9MiB,256MiB,42.15%
2026-09-24T02:54:37-03:00,scenario_3-service_a-1,100.46%,117.4MiB,256MiB,45.86%
2026-09-24T02:54:37-03:00,scenario_3-service_b-1,28.91%,107.6MiB,256MiB,42.04%
2026-09-24T02:54:42-03:00,scenario_3-service_a-1,101.02%,117.5MiB,256MiB,45.89%
2026-09-24T02:54:42-03:00,scenario_3-service_b-1,48.54%,108.1MiB,256MiB,42.22%
2026-09-24T02:54:47-03:00,scenario_3-service_a-1,0.05%,116.8MiB,256MiB,45.64%
2026-09-24T02:54:47-03:00,scenario_3-service_b-1,9.61%,107.6MiB,256MiB,42.03%
