Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/checkout,22583,0,710,763.2858707322607,382.943870001327,1298.4261969977524,236.8449718815038,187.97209533434383,0.0,710,780,880,960,1100,1100,1200,1200,1300,1300,1300
,Aggregated,22583,0,710,763.2858707322607,382.943870001327,1298.4261969977524,236.8449718815038,187.97209533434383,0.0,710,780,880,960,1100,1100,1200,1200,1300,1300,1300
