timestamp,cpu_busy_percent,load1,cpu_mhz_mean,temp_max_c
2026-09-24T02:00:59-03:00,20.9,8.39,1450,77.0
2026-09-24T02:01:01-03:00,20.1,8.52,3031,62.0
2026-09-24T02:01:03-03:00,21.1,8.52,3393,64.0
2026-09-24T02:01:05-03:00,19.6,8.52,3700,74.0
2026-09-24T02:01:07-03:00,21.4,8.24,3700,74.0
2026-09-24T02:01:09-03:00,21.4,8.24,3647,68.0
2026-09-24T02:01:11-03:00,20.5,7.98,3843,65.0
2026-09-24T02:01:13-03:00,19.8,7.98,2576,65.0
2026-09-24T02:01:15-03:00,20.1,7.98,3376,65.0
2026-09-24T02:01:17-03:00,19.2,8.46,2999,65.0
2026-09-24T02:01:19-03:00,20.0,8.46,3894,66.0
2026-09-24T02:01:21-03:00,20.5,8.18,3700,73.0
2026-09-24T02:01:23-03:00,21.0,8.18,3700,77.0
2026-09-24T02:01:25-03:00,19.8,7.85,3700,71.0
2026-09-24T02:01:27-03:00,18.6,7.85,3844,65.0
2026-09-24T02:01:29-03:00,20.2,7.85,3700,76.0
2026-09-24T02:01:31-03:00,20.1,7.22,3700,72.0
2026-09-24T02:01:33-03:00,20.5,7.22,3570,69.0
2026-09-24T02:01:35-03:00,20.0,6.72,3345,67.0
2026-09-24T02:01:37-03:00,21.0,6.72,3387,66.0
2026-09-24T02:01:39-03:00,19.8,6.72,2626,66.0
2026-09-24T02:01:41-03:00,20.0,6.66,3385,67.0
2026-09-24T02:01:43-03:00,20.1,6.66,3867,67.0
2026-09-24T02:01:45-03:00,20.3,6.13,3700,69.0
2026-09-24T02:01:47-03:00,20.7,6.13,3700,75.0
2026-09-24T02:01:49-03:00,19.9,6.13,3709,71.0
2026-09-24T02:01:51-03:00,20.4,5.64,3860,68.0
2026-09-24T02:01:53-03:00,19.5,5.64,3862,69.0
2026-09-24T02:01:55-03:00,20.3,5.51,3455,65.0
2026-09-24T02:01:57-03:00,19.2,5.51,3416,68.0
2026-09-24T02:01:59-03:00,20.7,5.51,2984,67.0
2026-09-24T02:02:01-03:00,19.8,5.06,3845,71.0
2026-09-24T02:02:03-03:00,19.4,5.06,3700,73.0
2026-09-24T02:02:05-03:00,20.7,4.66,3700,72.0
2026-09-24T02:02:07-03:00,19.3,4.66,3229,68.0
2026-09-24T02:02:09-03:00,20.5,4.66,3824,66.0
2026-09-24T02:02:11-03:00,19.9,4.29,3869,66.0
2026-09-24T02:02:13-03:00,24.8,4.29,3700,73.0
2026-09-24T02:02:15-03:00,21.0,3.94,3848,68.0
2026-09-24T02:02:17-03:00,20.8,3.94,3418,66.0
2026-09-24T02:02:19-03:00,22.1,3.94,3007,66.0
2026-09-24T02:02:21-03:00,24.1,3.63,3700,73.0
2026-09-24T02:02:23-03:00,21.4,3.63,3737,70.0
2026-09-24T02:02:25-03:00,20.1,3.34,3848,69.0
2026-09-24T02:02:27-03:00,20.1,3.34,3899,65.0
2026-09-24T02:02:29-03:00,19.6,3.34,3378,66.0
2026-09-24T02:02:31-03:00,21.7,3.07,3810,68.0
2026-09-24T02:02:33-03:00,18.9,3.07,2632,68.0
2026-09-24T02:02:35-03:00,20.7,2.82,3341,66.0
2026-09-24T02:02:38-03:00,19.8,2.82,3700,72.0
2026-09-24T02:02:40-03:00,20.2,2.82,3700,78.0
2026-09-24T02:02:42-03:00,20.1,2.60,3805,70.0
2026-09-24T02:02:44-03:00,19.5,2.60,3827,68.0
2026-09-24T02:02:46-03:00,21.0,2.39,3022,65.0
2026-09-24T02:02:48-03:00,19.5,2.39,3389,67.0
2026-09-24T02:02:50-03:00,20.5,2.39,3003,65.0
2026-09-24T02:02:52-03:00,19.3,2.28,3836,65.0
2026-09-24T02:02:54-03:00,19.9,2.28,3700,71.0
2026-09-24T02:02:56-03:00,20.3,2.09,3700,76.0
2026-09-24T02:02:58-03:00,20.7,2.09,3708,68.0
2026-09-24T02:03:00-03:00,20.0,2.09,3828,65.0
2026-09-24T02:03:02-03:00,20.0,1.93,3378,66.0
2026-09-24T02:03:04-03:00,19.7,1.93,3431,65.0
2026-09-24T02:03:06-03:00,19.8,1.85,3802,64.0
2026-09-24T02:03:08-03:00,22.7,1.85,2194,65.0
2026-09-24T02:03:10-03:00,5.4,1.85,3030,68.0
2026-09-24T02:03:12-03:00,2.9,1.70,2134,61.0
2026-09-24T02:03:14-03:00,3.0,1.70,2624,58.0
