timestamp,cpu_busy_percent,load1,cpu_mhz_mean,temp_max_c
2026-09-24T02:03:45-03:00,11.2,1.00,2596,60.0
2026-09-24T02:03:47-03:00,13.7,1.00,3721,65.0
2026-09-24T02:03:49-03:00,21.1,1.00,3700,66.0
2026-09-24T02:03:51-03:00,23.9,1.00,3700,71.0
2026-09-24T02:03:54-03:00,24.9,1.00,3700,76.0
2026-09-24T02:03:56-03:00,27.3,0.92,3838,69.0
2026-09-24T02:03:58-03:00,24.0,0.92,3767,68.0
2026-09-24T02:04:00-03:00,25.2,0.92,3781,68.0
2026-09-24T02:04:02-03:00,24.0,0.92,3442,69.0
2026-09-24T02:04:04-03:00,24.4,0.92,3832,68.0
2026-09-24T02:04:06-03:00,24.4,0.85,3462,69.0
2026-09-24T02:04:08-03:00,25.0,0.85,3700,74.0
2026-09-24T02:04:10-03:00,24.6,0.85,3700,78.0
2026-09-24T02:04:12-03:00,24.1,0.86,3785,70.0
2026-09-24T02:04:14-03:00,23.8,0.86,3836,71.0
2026-09-24T02:04:16-03:00,25.5,0.79,2639,68.0
2026-09-24T02:04:18-03:00,24.0,0.79,3767,66.0
2026-09-24T02:04:20-03:00,24.6,0.79,2156,67.0
2026-09-24T02:04:22-03:00,25.7,0.73,3375,67.0
2026-09-24T02:04:24-03:00,25.6,0.73,3070,70.0
2026-09-24T02:04:26-03:00,25.9,0.67,3700,73.0
2026-09-24T02:04:28-03:00,24.4,0.67,3766,69.0
2026-09-24T02:04:30-03:00,24.8,0.67,3766,68.0
2026-09-24T02:04:32-03:00,23.7,0.62,3770,70.0
2026-09-24T02:04:34-03:00,24.7,0.62,3756,69.0
2026-09-24T02:04:36-03:00,24.5,0.57,3453,70.0
2026-09-24T02:04:38-03:00,24.7,0.57,1970,68.0
2026-09-24T02:04:40-03:00,24.1,0.57,2982,68.0
2026-09-24T02:04:42-03:00,25.3,0.60,3700,75.0
2026-09-24T02:04:44-03:00,23.2,0.60,3700,74.0
2026-09-24T02:04:46-03:00,26.0,0.63,3786,72.0
2026-09-24T02:04:48-03:00,23.9,0.63,3372,70.0
2026-09-24T02:04:50-03:00,25.4,0.63,3844,69.0
2026-09-24T02:04:52-03:00,23.4,0.58,3828,81.0
2026-09-24T02:04:54-03:00,24.6,0.58,2951,72.0
2026-09-24T02:04:56-03:00,24.0,0.62,2569,68.0
2026-09-24T02:04:58-03:00,25.6,0.62,3700,74.0
2026-09-24T02:05:00-03:00,23.8,0.62,3700,73.0
2026-09-24T02:05:02-03:00,25.6,0.57,3782,69.0
2026-09-24T02:05:04-03:00,23.2,0.57,3531,68.0
2026-09-24T02:05:06-03:00,25.2,0.76,3453,68.0
2026-09-24T02:05:08-03:00,23.3,0.76,3811,66.0
2026-09-24T02:05:10-03:00,25.3,0.76,3404,69.0
2026-09-24T02:05:12-03:00,23.6,0.70,2881,68.0
2026-09-24T02:05:14-03:00,25.4,0.70,3700,76.0
2026-09-24T02:05:16-03:00,24.8,0.72,3700,77.0
2026-09-24T02:05:18-03:00,24.7,0.72,3700,74.0
2026-09-24T02:05:20-03:00,22.8,0.72,3777,69.0
2026-09-24T02:05:22-03:00,26.5,0.75,3296,74.0
2026-09-24T02:05:24-03:00,25.6,0.75,3801,70.0
2026-09-24T02:05:26-03:00,26.7,0.85,3297,70.0
2026-09-24T02:05:28-03:00,24.9,0.85,3847,73.0
2026-09-24T02:05:30-03:00,25.2,0.86,3700,76.0
2026-09-24T02:05:32-03:00,24.7,0.86,3750,75.0
2026-09-24T02:05:34-03:00,25.1,0.86,3600,71.0
2026-09-24T02:05:36-03:00,24.4,0.87,3846,69.0
2026-09-24T02:05:38-03:00,24.9,0.87,3273,72.0
2026-09-24T02:05:40-03:00,24.5,0.88,3469,71.0
2026-09-24T02:05:42-03:00,25.2,0.88,2532,69.0
2026-09-24T02:05:44-03:00,24.2,0.88,3205,69.0
2026-09-24T02:05:46-03:00,25.4,0.81,3700,74.0
2026-09-24T02:05:48-03:00,25.2,0.81,3700,77.0
2026-09-24T02:05:50-03:00,24.1,0.91,3849,71.0
2026-09-24T02:05:52-03:00,23.9,0.91,3729,73.0
2026-09-24T02:05:54-03:00,25.9,0.91,2530,80.0
2026-09-24T02:05:56-03:00,2.0,0.83,3418,61.0
2026-09-24T02:05:58-03:00,3.1,0.83,2159,60.0
2026-09-24T02:06:00-03:00,2.7,0.77,3030,59.0
