Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/checkout,22296,0,760,727.1500962896466,5.067885000244132,1117.1693129999767,236.78462504485108,186.94051223756654,0.0,760,800,830,840,880,920,950,970,1000,1100,1100
,Aggregated,22296,0,760,727.1500962896466,5.067885000244132,1117.1693129999767,236.78462504485108,186.94051223756654,0.0,760,800,830,840,880,920,950,970,1000,1100,1100
