Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/checkout,63066,0,11,51.89321264047487,2.5854260002233787,366.1070230000405,201.9928646180192,530.2889995801359,0.0,11,75,110,120,140,160,190,210,290,350,370
,Aggregated,63066,0,11,51.89321264047487,2.5854260002233787,366.1070230000405,201.9928646180192,530.2889995801359,0.0,11,75,110,120,140,160,190,210,290,350,370
