round,position,mode,started_at
1,1,baseline,2026-09-07T12:52:05-03:00
1,2,mesh,2026-09-07T12:55:41-03:00
2,1,baseline,2026-09-07T12:59:50-03:00
2,2,mesh,2026-09-07T13:03:35-03:00
3,1,mesh,2026-09-07T13:08:05-03:00
3,2,baseline,2026-09-07T13:12:36-03:00
