timestamp,container,cpu_percent,memory_usage,memory_limit,memory_percent
2026-09-24T02:35:33-03:00,scenario_2-service_a-1,70.31%,117.9MiB,256MiB,46.05%
2026-09-24T02:35:33-03:00,scenario_2-service_b-1,14.11%,108.3MiB,256MiB,42.30%
2026-09-24T02:35:38-03:00,scenario_2-service_a-1,100.15%,118.4MiB,256MiB,46.24%
2026-09-24T02:35:38-03:00,scenario_2-service_b-1,46.77%,108.7MiB,256MiB,42.47%
2026-09-24T02:35:43-03:00,scenario_2-service_a-1,100.29%,119.5MiB,256MiB,46.68%
2026-09-24T02:35:43-03:00,scenario_2-service_b-1,45.58%,108.3MiB,256MiB,42.32%
2026-09-24T02:35:48-03:00,scenario_2-service_a-1,100.66%,128.3MiB,256MiB,50.11%
2026-09-24T02:35:48-03:00,scenario_2-service_b-1,46.87%,108.5MiB,256MiB,42.40%
2026-09-24T02:35:53-03:00,scenario_2-service_a-1,99.85%,132.5MiB,256MiB,51.76%
2026-09-24T02:35:53-03:00,scenario_2-service_b-1,45.43%,108.9MiB,256MiB,42.52%
2026-09-24T02:35:58-03:00,scenario_2-service_a-1,100.05%,132.5MiB,256MiB,51.77%
2026-09-24T02:35:58-03:00,scenario_2-service_b-1,16.97%,108.6MiB,256MiB,42.42%
2026-09-24T02:36:03-03:00,scenario_2-service_a-1,99.88%,137.8MiB,256MiB,53.81%
2026-09-24T02:36:03-03:00,scenario_2-service_b-1,46.65%,110.7MiB,256MiB,43.26%
2026-09-24T02:36:09-03:00,scenario_2-service_a-1,99.93%,125.3MiB,256MiB,48.94%
2026-09-24T02:36:09-03:00,scenario_2-service_b-1,47.06%,110.3MiB,256MiB,43.07%
2026-09-24T02:36:14-03:00,scenario_2-service_a-1,101.87%,124.9MiB,256MiB,48.80%
2026-09-24T02:36:14-03:00,scenario_2-service_b-1,46.22%,110.9MiB,256MiB,43.31%
2026-09-24T02:36:19-03:00,scenario_2-service_a-1,101.25%,124.7MiB,256MiB,48.71%
2026-09-24T02:36:19-03:00,scenario_2-service_b-1,18.84%,110.4MiB,256MiB,43.13%
2026-09-24T02:36:24-03:00,scenario_2-service_a-1,100.32%,133.6MiB,256MiB,52.19%
2026-09-24T02:36:24-03:00,scenario_2-service_b-1,26.67%,120MiB,256MiB,46.89%
2026-09-24T02:36:29-03:00,scenario_2-service_a-1,100.67%,136.5MiB,256MiB,53.31%
2026-09-24T02:36:29-03:00,scenario_2-service_b-1,42.93%,110.6MiB,256MiB,43.22%
2026-09-24T02:36:34-03:00,scenario_2-service_a-1,100.13%,124.7MiB,256MiB,48.72%
2026-09-24T02:36:34-03:00,scenario_2-service_b-1,19.58%,111.3MiB,256MiB,43.47%
2026-09-24T02:36:39-03:00,scenario_2-service_a-1,100.17%,125.2MiB,256MiB,48.90%
2026-09-24T02:36:39-03:00,scenario_2-service_b-1,46.98%,111.7MiB,256MiB,43.65%
2026-09-24T02:36:44-03:00,scenario_2-service_a-1,100.46%,124.6MiB,256MiB,48.66%
2026-09-24T02:36:44-03:00,scenario_2-service_b-1,46.94%,111.5MiB,256MiB,43.55%
2026-09-24T02:36:49-03:00,scenario_2-service_a-1,100.97%,133.8MiB,256MiB,52.27%
2026-09-24T02:36:49-03:00,scenario_2-service_b-1,21.44%,112MiB,256MiB,43.77%
2026-09-24T02:36:54-03:00,scenario_2-service_a-1,100.52%,134.4MiB,256MiB,52.52%
2026-09-24T02:36:54-03:00,scenario_2-service_b-1,21.42%,112MiB,256MiB,43.77%
2026-09-24T02:36:59-03:00,scenario_2-service_a-1,100.68%,133.9MiB,256MiB,52.29%
2026-09-24T02:36:59-03:00,scenario_2-service_b-1,29.12%,111.6MiB,256MiB,43.59%
2026-09-24T02:37:05-03:00,scenario_2-service_a-1,100.86%,138.2MiB,256MiB,53.99%
2026-09-24T02:37:05-03:00,scenario_2-service_b-1,42.71%,113.5MiB,256MiB,44.35%
2026-09-24T02:37:10-03:00,scenario_2-service_a-1,100.19%,124.9MiB,256MiB,48.79%
2026-09-24T02:37:10-03:00,scenario_2-service_b-1,35.36%,113.7MiB,256MiB,44.40%
2026-09-24T02:37:15-03:00,scenario_2-service_a-1,100.22%,124.9MiB,256MiB,48.80%
2026-09-24T02:37:15-03:00,scenario_2-service_b-1,19.49%,113.1MiB,256MiB,44.19%
2026-09-24T02:37:20-03:00,scenario_2-service_a-1,100.58%,125MiB,256MiB,48.84%
2026-09-24T02:37:20-03:00,scenario_2-service_b-1,20.88%,113.5MiB,256MiB,44.33%
2026-09-24T02:37:25-03:00,scenario_2-service_a-1,102.66%,125.9MiB,256MiB,49.20%
2026-09-24T02:37:25-03:00,scenario_2-service_b-1,39.19%,125.5MiB,256MiB,49.02%
2026-09-24T02:37:30-03:00,scenario_2-service_a-1,100.47%,134.6MiB,256MiB,52.57%
2026-09-24T02:37:30-03:00,scenario_2-service_b-1,47.14%,113.9MiB,256MiB,44.51%
2026-09-24T02:37:35-03:00,scenario_2-service_a-1,100.13%,137.1MiB,256MiB,53.56%
2026-09-24T02:37:35-03:00,scenario_2-service_b-1,28.51%,113.5MiB,256MiB,44.32%
2026-09-24T02:37:40-03:00,scenario_2-service_a-1,100.09%,138.2MiB,256MiB,53.99%
2026-09-24T02:37:40-03:00,scenario_2-service_b-1,17.45%,113.7MiB,256MiB,44.40%
2026-09-24T02:37:45-03:00,scenario_2-service_a-1,1.17%,124.8MiB,256MiB,48.73%
2026-09-24T02:37:45-03:00,scenario_2-service_b-1,0.05%,113.1MiB,256MiB,44.18%
