timestamp,container,cpu_percent,memory_usage,memory_limit,memory_percent
2026-09-24T02:47:02-03:00,scenario_1-service_a-1,20.64%,108.3MiB,256MiB,42.29%
2026-09-24T02:47:02-03:00,scenario_1-service_b-1,28.11%,97.63MiB,256MiB,38.14%
2026-09-24T02:47:07-03:00,scenario_1-service_a-1,66.70%,108.7MiB,256MiB,42.45%
2026-09-24T02:47:07-03:00,scenario_1-service_b-1,43.70%,106.6MiB,256MiB,41.63%
2026-09-24T02:47:12-03:00,scenario_1-service_a-1,101.50%,119.1MiB,256MiB,46.51%
2026-09-24T02:47:12-03:00,scenario_1-service_b-1,58.04%,97.7MiB,256MiB,38.17%
2026-09-24T02:47:17-03:00,scenario_1-service_a-1,101.52%,115.6MiB,256MiB,45.14%
2026-09-24T02:47:17-03:00,scenario_1-service_b-1,31.25%,100.6MiB,256MiB,39.31%
2026-09-24T02:47:22-03:00,scenario_1-service_a-1,101.64%,115.7MiB,256MiB,45.21%
2026-09-24T02:47:22-03:00,scenario_1-service_b-1,58.03%,100.8MiB,256MiB,39.37%
2026-09-24T02:47:27-03:00,scenario_1-service_a-1,100.63%,119.1MiB,256MiB,46.51%
2026-09-24T02:47:27-03:00,scenario_1-service_b-1,28.81%,100.7MiB,256MiB,39.32%
2026-09-24T02:47:33-03:00,scenario_1-service_a-1,100.36%,115.4MiB,256MiB,45.08%
2026-09-24T02:47:33-03:00,scenario_1-service_b-1,54.16%,100.8MiB,256MiB,39.37%
2026-09-24T02:47:38-03:00,scenario_1-service_a-1,100.88%,115.3MiB,256MiB,45.03%
2026-09-24T02:47:38-03:00,scenario_1-service_b-1,63.86%,100.9MiB,256MiB,39.42%
2026-09-24T02:47:43-03:00,scenario_1-service_a-1,100.82%,124.9MiB,256MiB,48.78%
2026-09-24T02:47:43-03:00,scenario_1-service_b-1,44.35%,100.7MiB,256MiB,39.35%
2026-09-24T02:47:48-03:00,scenario_1-service_a-1,100.50%,114.9MiB,256MiB,44.87%
2026-09-24T02:47:48-03:00,scenario_1-service_b-1,28.35%,101.2MiB,256MiB,39.55%
2026-09-24T02:47:53-03:00,scenario_1-service_a-1,100.80%,115.1MiB,256MiB,44.96%
2026-09-24T02:47:53-03:00,scenario_1-service_b-1,32.78%,101.4MiB,256MiB,39.60%
2026-09-24T02:47:58-03:00,scenario_1-service_a-1,101.32%,124.1MiB,256MiB,48.48%
2026-09-24T02:47:58-03:00,scenario_1-service_b-1,36.81%,100.7MiB,256MiB,39.33%
2026-09-24T02:48:03-03:00,scenario_1-service_a-1,100.27%,128.3MiB,256MiB,50.10%
2026-09-24T02:48:03-03:00,scenario_1-service_b-1,33.59%,100.8MiB,256MiB,39.38%
2026-09-24T02:48:08-03:00,scenario_1-service_a-1,100.47%,115.1MiB,256MiB,44.95%
2026-09-24T02:48:08-03:00,scenario_1-service_b-1,56.47%,101MiB,256MiB,39.46%
2026-09-24T02:48:13-03:00,scenario_1-service_a-1,100.54%,117.4MiB,256MiB,45.88%
2026-09-24T02:48:13-03:00,scenario_1-service_b-1,66.49%,101.2MiB,256MiB,39.54%
2026-09-24T02:48:18-03:00,scenario_1-service_a-1,100.45%,127.4MiB,256MiB,49.78%
2026-09-24T02:48:18-03:00,scenario_1-service_b-1,63.84%,101.1MiB,256MiB,39.51%
2026-09-24T02:48:24-03:00,scenario_1-service_a-1,100.83%,115.6MiB,256MiB,45.14%
2026-09-24T02:48:24-03:00,scenario_1-service_b-1,36.15%,100.8MiB,256MiB,39.39%
2026-09-24T02:48:29-03:00,scenario_1-service_a-1,100.26%,115.2MiB,256MiB,44.98%
2026-09-24T02:48:29-03:00,scenario_1-service_b-1,31.20%,101.2MiB,256MiB,39.53%
2026-09-24T02:48:34-03:00,scenario_1-service_a-1,100.49%,124.1MiB,256MiB,48.48%
2026-09-24T02:48:34-03:00,scenario_1-service_b-1,37.76%,101.2MiB,256MiB,39.53%
2026-09-24T02:48:39-03:00,scenario_1-service_a-1,100.03%,127.6MiB,256MiB,49.83%
2026-09-24T02:48:39-03:00,scenario_1-service_b-1,33.10%,101.2MiB,256MiB,39.52%
2026-09-24T02:48:44-03:00,scenario_1-service_a-1,100.62%,115.2MiB,256MiB,45.00%
2026-09-24T02:48:44-03:00,scenario_1-service_b-1,34.19%,109.8MiB,256MiB,42.90%
2026-09-24T02:48:49-03:00,scenario_1-service_a-1,100.52%,115.4MiB,256MiB,45.09%
2026-09-24T02:48:49-03:00,scenario_1-service_b-1,65.41%,101.3MiB,256MiB,39.56%
2026-09-24T02:48:54-03:00,scenario_1-service_a-1,101.06%,115.5MiB,256MiB,45.13%
2026-09-24T02:48:54-03:00,scenario_1-service_b-1,27.36%,101.5MiB,256MiB,39.64%
2026-09-24T02:48:59-03:00,scenario_1-service_a-1,101.44%,127.7MiB,256MiB,49.90%
2026-09-24T02:48:59-03:00,scenario_1-service_b-1,63.00%,101.2MiB,256MiB,39.54%
2026-09-24T02:49:04-03:00,scenario_1-service_a-1,101.00%,115.1MiB,256MiB,44.98%
2026-09-24T02:49:04-03:00,scenario_1-service_b-1,35.84%,100.9MiB,256MiB,39.41%
2026-09-24T02:49:09-03:00,scenario_1-service_a-1,100.14%,115.7MiB,256MiB,45.19%
2026-09-24T02:49:09-03:00,scenario_1-service_b-1,35.17%,100.7MiB,256MiB,39.32%
2026-09-24T02:49:14-03:00,scenario_1-service_a-1,0.04%,113.5MiB,256MiB,44.34%
2026-09-24T02:49:14-03:00,scenario_1-service_b-1,0.04%,100.3MiB,256MiB,39.18%
