scenario,label,requests_count,requests_mean,requests_std,failures_count,failures_mean,failures_std,throughput_rps_count,throughput_rps_mean,throughput_rps_std,latency_mean_ms_count,latency_mean_ms_mean,latency_mean_ms_std,latency_p50_ms_count,latency_p50_ms_mean,latency_p50_ms_std,latency_p95_ms_count,latency_p95_ms_mean,latency_p95_ms_std
scenario_1,C1 — Baseline HTTP,3,60751.333333333336,7554.83582437986,3,0.0,0.0,3,507.3581754348945,63.982568541669636,3,68.16197930331762,42.27782302651994,3,29.666666666666668,37.52776749732568,3,220.0,112.69427669584645
scenario_2,C2 — HTTP + JWT,3,60467.0,5518.38590531688,3,0.0,0.0,3,506.10942856774335,47.46648053191008,3,67.40152340184035,30.157025025784108,3,21.666666666666668,20.231987873991358,3,220.0,95.39392014169457
scenario_3,C3 — mTLS interno,3,60863.0,3118.2073375579116,3,0.0,0.0,3,507.58491937918825,26.37580986345489,3,65.44060166715096,14.900917001831855,3,20.333333333333332,9.291573243177568,3,206.66666666666666,41.63331998932265
scenario_4,C4 — mTLS interno + JWT,3,61603.0,3486.712491732004,3,0.0,0.0,3,515.3022589790189,27.305922302880678,3,60.90040240728501,16.23919397338366,3,14.666666666666666,8.082903768654761,3,190.0,43.58898943540674
scenario_5_k8s_baseline,C5a — Kubernetes sem mesh,3,22360.0,55.46169849544819,3,0.0,0.0,3,187.53160352527425,0.5125130404798238,3,723.6242236390134,3.0681812867830907,3,703.3333333333334,98.14954576223639,3,1076.6666666666667,280.0595174839329
scenario_5_mesh,C5b — Kubernetes + Istio,3,21647.0,29.206163733020468,3,0.0,0.0,3,181.51872419319525,0.21696442054090057,3,756.9426819966078,1.532492406664869,3,796.6666666666666,25.166114784235834,3,986.6666666666666,23.094010767585015
