Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/checkout,22588,1,760,761.7948883832574,21.816713000589516,1092.9946059986833,236.8403577120595,187.99933094808586,0.00832297374482406,760,800,820,840,880,900,950,980,1000,1100,1100
,Aggregated,22588,1,760,761.7948883832574,21.816713000589516,1092.9946059986833,236.8403577120595,187.99933094808586,0.00832297374482406,760,800,820,840,880,900,950,980,1000,1100,1100
