Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/checkout,65057,0,8,43.80252546903591,2.3713719992883853,275.963676000174,196.9550855403723,544.091229918799,0.0,8,35,95,110,130,150,170,180,230,260,280
,Aggregated,65057,0,8,43.80252546903591,2.3713719992883853,275.963676000174,196.9550855403723,544.091229918799,0.0,8,35,95,110,130,150,170,180,230,260,280
