round,scenario,container,role,cpu_ms,cpu_ms_per_request,throttled_periods_percent,throttled_ms
round_04,scenario_5_mesh,service-a-566b9cc9dc-97vnf/service-a,checkout_app,119965.318,5.311019922082521,100.0,270193.474
round_04,scenario_5_mesh,service-b-b9d464c6d-wwmsf/istio-proxy,inventory_sidecar,12553.74,0.5557703205241721,0.0,0.0
round_04,scenario_5_mesh,service-b-b9d464c6d-wwmsf/service-b,inventory_app,20423.602,0.9041792987426952,0.0,0.0
round_05,scenario_1,scenario_1-service_a-1,checkout_app,119947.368,2.5526147690998084,100.0,282506.549
round_05,scenario_1,scenario_1-service_b-1,inventory_app,53423.807,1.1369186422643116,12.29235880398671,11502.899
round_05,scenario_2,scenario_2-service_a-1,checkout_app,120005.134,5.433292615565717,100.0,290248.782
round_05,scenario_2,scenario_2-service_b-1,inventory_app,36540.701,1.6543985602390547,9.136212624584717,1994.794
round_05,scenario_3,scenario_3-service_a-1,checkout_app,119861.838,2.742645539207835,100.0,284779.69
round_05,scenario_3,scenario_3-service_b-1,inventory_app,47022.226,1.0759496144429446,3.0756442227763925,1324.343
round_05,scenario_4,scenario_4-service_a-1,checkout_app,120000.448,5.587653566772211,100.0,294146.601
round_05,scenario_4,scenario_4-service_b-1,inventory_app,29663.098,1.3812208046191097,1.744186046511628,577.639
round_05,scenario_5_k8s_baseline,service-a-79689f88cb-dv77g/service-a,checkout_app,119601.292,2.526645512928849,100.0,208697.608
round_05,scenario_5_k8s_baseline,service-b-b9d464c6d-d8czv/service-b,inventory_app,41098.245,0.8682238676694272,0.0,0.0
round_05,scenario_5_mesh,service-a-566b9cc9dc-xzxxp/istio-proxy,checkout_sidecar,18493.932,0.8189315857060621,0.0,0.0
round_05,scenario_5_mesh,service-a-566b9cc9dc-xzxxp/service-a,checkout_app,120040.067,5.31550577868308,100.0,277256.224
round_05,scenario_5_mesh,service-b-b9d464c6d-dqpl4/istio-proxy,inventory_sidecar,12621.925,0.5589126776778993,0.0,0.0
round_05,scenario_5_mesh,service-b-b9d464c6d-dqpl4/service-b,inventory_app,20270.264,0.8975895142363725,0.0,0.0
round_06,scenario_1,scenario_1-service_a-1,checkout_app,119925.686,2.547112248582291,100.0,291735.099
round_06,scenario_1,scenario_1-service_b-1,inventory_app,53499.715,1.1362851772401927,12.801330008312553,5714.268
round_06,scenario_2,scenario_2-service_a-1,checkout_app,120008.204,5.358465976067155,100.0,295401.385
round_06,scenario_2,scenario_2-service_b-1,inventory_app,35902.222,1.6030640292909448,9.136212624584717,1947.609
round_06,scenario_3,scenario_3-service_a-1,checkout_app,119895.798,2.7206380448841587,100.0,293178.618
round_06,scenario_3,scenario_3-service_b-1,inventory_app,46285.026,1.050285370668724,4.073150457190358,1286.434
round_06,scenario_4,scenario_4-service_a-1,checkout_app,119917.777,5.619916440153716,100.0,293050.998
round_06,scenario_4,scenario_4-service_b-1,inventory_app,30105.62,1.410892304808323,1.495016611295681,544.11
