scenario,label,requests_count,requests_mean,requests_std,requests_median,requests_q1,requests_q3,requests_min,requests_max,failures_count,failures_mean,failures_std,failures_median,failures_q1,failures_q3,failures_min,failures_max,throughput_rps_count,throughput_rps_mean,throughput_rps_std,throughput_rps_median,throughput_rps_q1,throughput_rps_q3,throughput_rps_min,throughput_rps_max,latency_mean_ms_count,latency_mean_ms_mean,latency_mean_ms_std,latency_mean_ms_median,latency_mean_ms_q1,latency_mean_ms_q3,latency_mean_ms_min,latency_mean_ms_max,latency_p50_ms_count,latency_p50_ms_mean,latency_p50_ms_std,latency_p50_ms_median,latency_p50_ms_q1,latency_p50_ms_q3,latency_p50_ms_min,latency_p50_ms_max,latency_p95_ms_count,latency_p95_ms_mean,latency_p95_ms_std,latency_p95_ms_median,latency_p95_ms_q1,latency_p95_ms_q3,latency_p95_ms_min,latency_p95_ms_max,latency_p99_ms_count,latency_p99_ms_mean,latency_p99_ms_std,latency_p99_ms_median,latency_p99_ms_q1,latency_p99_ms_q3,latency_p99_ms_min,latency_p99_ms_max
scenario_1,C1 — HTTP sem proteção,10,47765.5,551.2124514800689,47673.0,47393.5,48206.25,46990.0,48553.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,397.29360865815494,4.622781762921985,396.62505523656876,394.17355372850267,401.066110611591,390.7907296225828,403.7426269458649,10,201.7904833770302,5.943377780711927,202.69907481825686,196.31341698923896,206.17863203239028,193.68533939750097,209.31765678265344,10,185.0,5.270462766947296,185.0,180.0,190.0,180.0,190.0,10,374.0,18.378731669453636,365.0,360.0,392.5,360.0,400.0,10,558.0,149.6514468876113,465.0,452.5,700.0,410.0,800.0
scenario_2,C2 — HTTP + JWT RS256,10,22297.1,114.78913034100613,22339.5,22248.0,22393.0,22087.0,22400.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,185.58658060684306,0.9654459499976764,185.91957890699405,185.16580901843292,186.37525494841339,183.7841861848173,186.4643600160813,10,776.0658214898401,4.4129217048685705,775.728558155505,772.9895586940847,778.4375902709081,771.1121932508013,785.2925485218432,10,757.0,29.458068127047596,765.0,760.0,770.0,680.0,780.0,10,1170.0,105.93499054713803,1100.0,1100.0,1200.0,1100.0,1400.0,10,1310.0,110.0504934614612,1300.0,1200.0,1400.0,1200.0,1500.0
scenario_3,C3 — mTLS na aplicação,10,43840.1,221.22258775570984,43727.0,43701.5,44051.75,43528.0,44152.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,364.6932663543092,1.7849740534935759,363.85720221135574,363.50965236588445,366.3294655033833,362.18835377587845,367.35013427685726,10,247.51127951885877,2.9082118458462323,249.0408142512756,244.77524460278178,249.5583803899214,242.79945101123704,251.1071947470234,10,238.0,4.216370213557842,240.0,240.0,240.0,230.0,240.0,10,435.0,26.77063067368168,420.0,420.0,447.5,410.0,480.0,10,500.0,34.318767136623336,485.0,472.5,522.5,470.0,560.0
scenario_4,C4 — mTLS + JWT na aplicação,10,21394.5,56.57099767352349,21395.5,21344.25,21435.25,21313.0,21476.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,178.0625155495912,0.4664883392076204,178.09489610577396,177.62858266547582,178.44573874509683,177.45187829253106,178.70474656325132,10,822.2059875594714,2.877362848166901,822.7669026367913,819.4663324476459,824.510973077435,818.1712998509581,826.195335137365,10,801.0,22.33582075700128,805.0,782.5,820.0,770.0,830.0,10,1200.0,94.28090415820634,1200.0,1125.0,1200.0,1100.0,1400.0,10,1310.0,99.44289260117532,1300.0,1225.0,1375.0,1200.0,1500.0
scenario_5_k8s_baseline,C5a — Kubernetes sem malha,10,47254.9,207.21403320131364,47262.5,47166.75,47340.5,46938.0,47630.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,393.08284655029155,1.7335526117814404,393.1656096423783,392.39795689822523,393.81333116943586,390.4910220080789,396.2584276251127,10,207.72237225337122,2.472085789093057,207.74266998423838,206.02580379778618,209.44607716808696,203.8676818207321,211.2701012772622,10,202.0,12.292725943057183,210.0,200.0,210.0,180.0,210.0,10,323.0,41.37900702315393,310.0,290.0,340.0,280.0,400.0,10,357.0,46.67856991049414,345.0,320.0,370.0,310.0,440.0
scenario_5_mesh,C5b — Kubernetes + Istio,10,22415.4,350.7966172394865,22545.0,22517.5,22582.0,21470.0,22588.0,10,1.6,1.429840705968481,1.0,1.0,2.0,0.0,4.0,10,186.55352361697783,2.9353963161090784,187.6508063035297,187.38892566101777,187.94465818690966,178.63060017442743,187.99933094808583,10,770.7600489870614,16.94065326565882,764.1666768993308,763.4106699307455,765.4230288131101,761.7948883832574,816.421745677645,10,764.0,48.57983120596448,765.0,722.5,802.5,690.0,830.0,10,1069.0,124.58375139283258,1100.0,977.5,1100.0,900.0,1300.0,10,1196.0,270.1110882581461,1150.0,1025.0,1200.0,980.0,1900.0
