round,scenario,role,mem_mib_median,mem_mib_max
round_08,scenario_4,checkout_app,127.6,140.9
round_08,scenario_4,inventory_app,117.4,121.6
round_08,scenario_5_k8s_baseline,checkout_app,123.0,123.0
round_08,scenario_5_k8s_baseline,inventory_app,102.0,106.0
round_08,scenario_5_mesh,checkout_sidecar,42.0,43.0
round_08,scenario_5_mesh,checkout_app,124.0,125.0
round_08,scenario_5_mesh,inventory_sidecar,30.0,32.0
round_08,scenario_5_mesh,inventory_app,100.0,102.0
round_09,scenario_1,checkout_app,116.1,128.8
round_09,scenario_1,inventory_app,102.3,113.8
round_09,scenario_2,checkout_app,125.4,138.6
round_09,scenario_2,inventory_app,112.1,121.9
round_09,scenario_3,checkout_app,118.0,130.9
round_09,scenario_3,inventory_app,108.1,117.3
round_09,scenario_4,checkout_app,131.1,141.0
round_09,scenario_4,inventory_app,115.9,119.6
round_09,scenario_5_k8s_baseline,checkout_app,122.0,123.0
round_09,scenario_5_k8s_baseline,inventory_app,106.0,106.0
round_09,scenario_5_mesh,checkout_sidecar,42.0,44.0
round_09,scenario_5_mesh,checkout_app,124.0,125.0
round_09,scenario_5_mesh,inventory_sidecar,32.0,32.0
round_09,scenario_5_mesh,inventory_app,100.0,104.0
round_10,scenario_1,checkout_app,115.6,128.7
round_10,scenario_1,inventory_app,103.0,116.2
round_10,scenario_2,checkout_app,127.5,138.1
round_10,scenario_2,inventory_app,113.1,127.0
round_10,scenario_3,checkout_app,117.8,130.9
round_10,scenario_3,inventory_app,107.9,115.4
round_10,scenario_4,checkout_app,134.6,140.4
round_10,scenario_4,inventory_app,116.0,124.4
round_10,scenario_5_k8s_baseline,checkout_app,123.0,123.0
round_10,scenario_5_k8s_baseline,inventory_app,104.0,104.0
round_10,scenario_5_mesh,checkout_sidecar,42.0,43.0
round_10,scenario_5_mesh,checkout_app,124.0,125.0
round_10,scenario_5_mesh,inventory_sidecar,30.0,31.0
round_10,scenario_5_mesh,inventory_app,100.0,104.0
