Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/checkout,43703,0,240,249.62885807748637,15.345700001489604,572.5402080024651,208.2790426286525,363.5095196568083,0.0,240,280,310,320,370,410,440,470,530,550,570
,Aggregated,43703,0,240,249.62885807748637,15.345700001489604,572.5402080024651,208.2790426286525,363.5095196568083,0.0,240,280,310,320,370,410,440,470,530,550,570
