timestamp,cpu_busy_percent,load1,cpu_mhz_mean,temp_max_c
2026-09-24T04:43:58-03:00,16.1,1.08,3759,64.0
2026-09-24T04:44:00-03:00,17.9,1.08,3124,65.0
2026-09-24T04:44:02-03:00,20.8,1.08,3021,67.0
2026-09-24T04:44:04-03:00,20.1,0.99,3700,75.0
2026-09-24T04:44:06-03:00,21.1,0.99,3703,75.0
2026-09-24T04:44:08-03:00,21.1,0.91,3468,65.0
2026-09-24T04:44:10-03:00,19.7,0.91,3003,67.0
2026-09-24T04:44:12-03:00,19.7,0.91,2149,67.0
2026-09-24T04:44:14-03:00,19.8,0.92,3707,69.0
2026-09-24T04:44:16-03:00,19.3,0.92,3771,67.0
2026-09-24T04:44:18-03:00,20.2,0.85,3843,66.0
2026-09-24T04:44:20-03:00,20.1,0.85,3700,74.0
2026-09-24T04:44:22-03:00,20.9,0.85,3700,72.0
2026-09-24T04:44:24-03:00,20.0,0.78,3772,70.0
2026-09-24T04:44:26-03:00,18.7,0.78,3792,66.0
2026-09-24T04:44:28-03:00,20.5,0.72,3460,66.0
2026-09-24T04:44:30-03:00,19.4,0.72,3396,64.0
2026-09-24T04:44:32-03:00,20.2,0.72,3399,65.0
2026-09-24T04:44:34-03:00,19.7,0.74,2148,64.0
2026-09-24T04:44:36-03:00,20.7,0.74,3700,70.0
2026-09-24T04:44:38-03:00,20.8,0.68,3700,73.0
2026-09-24T04:44:40-03:00,20.1,0.68,3713,69.0
2026-09-24T04:44:42-03:00,20.4,0.68,3875,66.0
2026-09-24T04:44:44-03:00,19.7,0.62,3398,66.0
2026-09-24T04:44:46-03:00,20.3,0.62,3402,66.0
2026-09-24T04:44:48-03:00,19.3,0.57,3451,65.0
2026-09-24T04:44:50-03:00,20.4,0.57,2962,65.0
2026-09-24T04:44:52-03:00,19.8,0.57,2987,67.0
2026-09-24T04:44:54-03:00,20.6,0.53,3700,74.0
2026-09-24T04:44:56-03:00,19.8,0.53,3815,67.0
2026-09-24T04:44:58-03:00,20.4,0.49,3803,74.0
2026-09-24T04:45:00-03:00,18.9,0.49,3823,68.0
2026-09-24T04:45:02-03:00,20.5,0.49,3400,67.0
2026-09-24T04:45:04-03:00,19.8,0.45,2617,68.0
2026-09-24T04:45:06-03:00,19.3,0.45,3000,68.0
2026-09-24T04:45:08-03:00,20.3,0.41,3398,65.0
2026-09-24T04:45:10-03:00,19.7,0.41,3700,71.0
2026-09-24T04:45:12-03:00,21.1,0.41,3700,75.0
2026-09-24T04:45:14-03:00,19.2,0.38,3859,69.0
2026-09-24T04:45:16-03:00,20.2,0.38,3859,66.0
2026-09-24T04:45:18-03:00,19.5,0.35,3385,65.0
2026-09-24T04:45:20-03:00,20.2,0.35,3839,66.0
2026-09-24T04:45:22-03:00,19.3,0.35,3408,64.0
2026-09-24T04:45:24-03:00,20.6,0.32,3770,64.0
2026-09-24T04:45:26-03:00,20.2,0.32,3430,65.0
2026-09-24T04:45:28-03:00,20.2,0.37,3700,75.0
2026-09-24T04:45:30-03:00,20.7,0.37,3838,68.0
2026-09-24T04:45:32-03:00,18.8,0.37,3844,67.0
2026-09-24T04:45:34-03:00,21.4,0.34,3803,69.0
2026-09-24T04:45:36-03:00,18.1,0.34,3700,68.0
2026-09-24T04:45:38-03:00,20.3,0.32,3392,65.0
2026-09-24T04:45:40-03:00,19.3,0.32,3040,65.0
2026-09-24T04:45:42-03:00,20.5,0.32,3437,64.0
2026-09-24T04:45:44-03:00,20.0,0.29,3700,73.0
2026-09-24T04:45:46-03:00,20.0,0.29,3700,74.0
2026-09-24T04:45:48-03:00,19.8,0.27,3876,66.0
2026-09-24T04:45:50-03:00,20.0,0.27,3292,67.0
2026-09-24T04:45:52-03:00,20.2,0.27,3390,67.0
2026-09-24T04:45:54-03:00,19.5,0.25,3792,67.0
2026-09-24T04:45:56-03:00,19.9,0.25,3423,66.0
2026-09-24T04:45:59-03:00,20.0,0.23,2987,64.0
2026-09-24T04:46:01-03:00,20.4,0.23,3749,65.0
2026-09-24T04:46:03-03:00,19.7,0.21,3700,73.0
2026-09-24T04:46:05-03:00,20.6,0.21,3700,72.0
2026-09-24T04:46:07-03:00,22.1,0.21,3773,75.0
2026-09-24T04:46:09-03:00,6.3,0.51,3021,60.0
2026-09-24T04:46:11-03:00,3.1,0.51,2152,59.0
