timestamp,pod,container,cpu_millicores,mem_mib
2026-09-07T13:16:06-03:00,service-b-84f46cb7b9-gr5mm,service-b,169,101
2026-09-07T13:16:09-03:00,service-a-755c99ff84-c29wv,service-a,996,125
2026-09-07T13:16:09-03:00,service-b-84f46cb7b9-gr5mm,service-b,169,101
2026-09-07T13:16:12-03:00,service-a-755c99ff84-c29wv,service-a,1000,125
2026-09-07T13:16:12-03:00,service-b-84f46cb7b9-gr5mm,service-b,171,104
2026-09-07T13:16:15-03:00,service-a-755c99ff84-c29wv,service-a,1000,125
2026-09-07T13:16:15-03:00,service-b-84f46cb7b9-gr5mm,service-b,171,104
2026-09-07T13:16:18-03:00,service-a-755c99ff84-c29wv,service-a,1000,125
2026-09-07T13:16:18-03:00,service-b-84f46cb7b9-gr5mm,service-b,171,104
2026-09-07T13:16:21-03:00,service-a-755c99ff84-c29wv,service-a,1000,125
2026-09-07T13:16:21-03:00,service-b-84f46cb7b9-gr5mm,service-b,171,104
2026-09-07T13:16:24-03:00,service-a-755c99ff84-c29wv,service-a,1000,125
2026-09-07T13:16:24-03:00,service-b-84f46cb7b9-gr5mm,service-b,171,104
