Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/checkout,47226,0,210,208.51331687641436,4.343454002082581,443.3620739982871,236.28448312370304,392.8474411529637,0.0,210,230,250,260,280,290,310,320,360,400,440
,Aggregated,47226,0,210,208.51331687641436,4.343454002082581,443.3620739982871,236.28448312370304,392.8474411529637,0.0,210,230,250,260,280,290,310,320,360,400,440
