timestamp,container,cpu_percent,memory_usage,memory_limit,memory_percent
2026-09-24T02:10:39-03:00,scenario_2-service_a-1,71.93%,118.1MiB,256MiB,46.14%
2026-09-24T02:10:39-03:00,scenario_2-service_b-1,9.51%,108.6MiB,256MiB,42.43%
2026-09-24T02:10:44-03:00,scenario_2-service_a-1,100.32%,127.1MiB,256MiB,49.65%
2026-09-24T02:10:44-03:00,scenario_2-service_b-1,40.42%,108.3MiB,256MiB,42.30%
2026-09-24T02:10:49-03:00,scenario_2-service_a-1,99.18%,132.2MiB,256MiB,51.64%
2026-09-24T02:10:49-03:00,scenario_2-service_b-1,18.58%,108.7MiB,256MiB,42.45%
2026-09-24T02:10:54-03:00,scenario_2-service_a-1,99.88%,119.6MiB,256MiB,46.72%
2026-09-24T02:10:54-03:00,scenario_2-service_b-1,43.08%,108.5MiB,256MiB,42.36%
2026-09-24T02:10:59-03:00,scenario_2-service_a-1,99.61%,119.4MiB,256MiB,46.63%
2026-09-24T02:10:59-03:00,scenario_2-service_b-1,20.77%,108.5MiB,256MiB,42.40%
2026-09-24T02:11:04-03:00,scenario_2-service_a-1,100.92%,122.7MiB,256MiB,47.93%
2026-09-24T02:11:04-03:00,scenario_2-service_b-1,21.08%,108.6MiB,256MiB,42.43%
2026-09-24T02:11:09-03:00,scenario_2-service_a-1,100.83%,134.2MiB,256MiB,52.41%
2026-09-24T02:11:09-03:00,scenario_2-service_b-1,21.23%,108.6MiB,256MiB,42.40%
2026-09-24T02:11:14-03:00,scenario_2-service_a-1,100.17%,136.8MiB,256MiB,53.43%
2026-09-24T02:11:14-03:00,scenario_2-service_b-1,44.44%,108.2MiB,256MiB,42.27%
2026-09-24T02:11:19-03:00,scenario_2-service_a-1,100.50%,138MiB,256MiB,53.90%
2026-09-24T02:11:19-03:00,scenario_2-service_b-1,42.09%,110.4MiB,256MiB,43.13%
2026-09-24T02:11:24-03:00,scenario_2-service_a-1,100.43%,125MiB,256MiB,48.85%
2026-09-24T02:11:24-03:00,scenario_2-service_b-1,16.35%,110.4MiB,256MiB,43.12%
2026-09-24T02:11:30-03:00,scenario_2-service_a-1,99.71%,125MiB,256MiB,48.81%
2026-09-24T02:11:30-03:00,scenario_2-service_b-1,14.98%,109.8MiB,256MiB,42.90%
2026-09-24T02:11:35-03:00,scenario_2-service_a-1,100.35%,138MiB,256MiB,53.91%
2026-09-24T02:11:35-03:00,scenario_2-service_b-1,34.92%,110.2MiB,256MiB,43.03%
2026-09-24T02:11:40-03:00,scenario_2-service_a-1,99.84%,125.3MiB,256MiB,48.96%
2026-09-24T02:11:40-03:00,scenario_2-service_b-1,20.70%,110.5MiB,256MiB,43.16%
2026-09-24T02:11:45-03:00,scenario_2-service_a-1,100.20%,126.5MiB,256MiB,49.41%
2026-09-24T02:11:45-03:00,scenario_2-service_b-1,32.06%,113.4MiB,256MiB,44.30%
2026-09-24T02:11:50-03:00,scenario_2-service_a-1,100.21%,125MiB,256MiB,48.83%
2026-09-24T02:11:50-03:00,scenario_2-service_b-1,42.68%,113.4MiB,256MiB,44.28%
2026-09-24T02:11:55-03:00,scenario_2-service_a-1,100.63%,134.1MiB,256MiB,52.38%
2026-09-24T02:11:55-03:00,scenario_2-service_b-1,40.15%,113.9MiB,256MiB,44.48%
2026-09-24T02:12:00-03:00,scenario_2-service_a-1,100.09%,136.9MiB,256MiB,53.46%
2026-09-24T02:12:00-03:00,scenario_2-service_b-1,18.11%,113.6MiB,256MiB,44.38%
2026-09-24T02:12:05-03:00,scenario_2-service_a-1,100.40%,124.8MiB,256MiB,48.76%
2026-09-24T02:12:05-03:00,scenario_2-service_b-1,42.14%,113.9MiB,256MiB,44.48%
2026-09-24T02:12:10-03:00,scenario_2-service_a-1,100.67%,124.7MiB,256MiB,48.72%
2026-09-24T02:12:10-03:00,scenario_2-service_b-1,20.80%,113.3MiB,256MiB,44.26%
2026-09-24T02:12:15-03:00,scenario_2-service_a-1,102.45%,126.8MiB,256MiB,49.55%
2026-09-24T02:12:15-03:00,scenario_2-service_b-1,21.26%,113.5MiB,256MiB,44.32%
2026-09-24T02:12:21-03:00,scenario_2-service_a-1,101.47%,125MiB,256MiB,48.81%
2026-09-24T02:12:21-03:00,scenario_2-service_b-1,18.08%,113.6MiB,256MiB,44.37%
2026-09-24T02:12:26-03:00,scenario_2-service_a-1,99.87%,138.5MiB,256MiB,54.09%
2026-09-24T02:12:26-03:00,scenario_2-service_b-1,42.12%,114.1MiB,256MiB,44.57%
2026-09-24T02:12:31-03:00,scenario_2-service_a-1,99.77%,125.5MiB,256MiB,49.02%
2026-09-24T02:12:31-03:00,scenario_2-service_b-1,16.47%,113.5MiB,256MiB,44.35%
2026-09-24T02:12:36-03:00,scenario_2-service_a-1,100.45%,124.9MiB,256MiB,48.79%
2026-09-24T02:12:36-03:00,scenario_2-service_b-1,18.63%,113.2MiB,256MiB,44.22%
2026-09-24T02:12:41-03:00,scenario_2-service_a-1,100.23%,124.8MiB,256MiB,48.75%
2026-09-24T02:12:41-03:00,scenario_2-service_b-1,26.40%,122.1MiB,256MiB,47.71%
2026-09-24T02:12:46-03:00,scenario_2-service_a-1,100.89%,126MiB,256MiB,49.23%
2026-09-24T02:12:46-03:00,scenario_2-service_b-1,45.44%,113.5MiB,256MiB,44.33%
2026-09-24T02:12:51-03:00,scenario_2-service_a-1,8.46%,123.8MiB,256MiB,48.34%
2026-09-24T02:12:51-03:00,scenario_2-service_b-1,14.84%,112.8MiB,256MiB,44.05%
