timestamp,container,cpu_percent,memory_usage,memory_limit,memory_percent
2026-09-24T03:37:45-03:00,scenario_2-service_a-1,61.99%,117.6MiB,256MiB,45.92%
2026-09-24T03:37:45-03:00,scenario_2-service_b-1,13.34%,109.9MiB,256MiB,42.94%
2026-09-24T03:37:50-03:00,scenario_2-service_a-1,100.68%,118.1MiB,256MiB,46.13%
2026-09-24T03:37:50-03:00,scenario_2-service_b-1,19.02%,108MiB,256MiB,42.19%
2026-09-24T03:37:55-03:00,scenario_2-service_a-1,100.41%,119.4MiB,256MiB,46.62%
2026-09-24T03:37:55-03:00,scenario_2-service_b-1,39.62%,108.1MiB,256MiB,42.24%
2026-09-24T03:38:00-03:00,scenario_2-service_a-1,100.33%,129.1MiB,256MiB,50.43%
2026-09-24T03:38:00-03:00,scenario_2-service_b-1,45.16%,108.2MiB,256MiB,42.25%
2026-09-24T03:38:05-03:00,scenario_2-service_a-1,99.91%,127.4MiB,256MiB,49.78%
2026-09-24T03:38:05-03:00,scenario_2-service_b-1,16.40%,110MiB,256MiB,42.98%
2026-09-24T03:38:11-03:00,scenario_2-service_a-1,100.57%,135.3MiB,256MiB,52.85%
2026-09-24T03:38:11-03:00,scenario_2-service_b-1,16.08%,109.7MiB,256MiB,42.84%
2026-09-24T03:38:16-03:00,scenario_2-service_a-1,101.14%,125MiB,256MiB,48.83%
2026-09-24T03:38:16-03:00,scenario_2-service_b-1,16.71%,109.7MiB,256MiB,42.86%
2026-09-24T03:38:21-03:00,scenario_2-service_a-1,101.01%,124.9MiB,256MiB,48.77%
2026-09-24T03:38:21-03:00,scenario_2-service_b-1,31.66%,119.7MiB,256MiB,46.74%
2026-09-24T03:38:26-03:00,scenario_2-service_a-1,102.14%,125.5MiB,256MiB,49.03%
2026-09-24T03:38:26-03:00,scenario_2-service_b-1,46.00%,109.8MiB,256MiB,42.90%
2026-09-24T03:38:31-03:00,scenario_2-service_a-1,100.46%,134.3MiB,256MiB,52.46%
2026-09-24T03:38:31-03:00,scenario_2-service_b-1,38.54%,110.2MiB,256MiB,43.05%
2026-09-24T03:38:36-03:00,scenario_2-service_a-1,100.36%,125.9MiB,256MiB,49.16%
2026-09-24T03:38:36-03:00,scenario_2-service_b-1,39.44%,110MiB,256MiB,42.98%
2026-09-24T03:38:41-03:00,scenario_2-service_a-1,100.73%,138MiB,256MiB,53.90%
2026-09-24T03:38:41-03:00,scenario_2-service_b-1,16.99%,109.8MiB,256MiB,42.89%
2026-09-24T03:38:46-03:00,scenario_2-service_a-1,100.59%,136.6MiB,256MiB,53.37%
2026-09-24T03:38:46-03:00,scenario_2-service_b-1,18.23%,109.8MiB,256MiB,42.90%
2026-09-24T03:38:51-03:00,scenario_2-service_a-1,99.94%,125.1MiB,256MiB,48.86%
2026-09-24T03:38:51-03:00,scenario_2-service_b-1,42.12%,109.9MiB,256MiB,42.91%
2026-09-24T03:38:56-03:00,scenario_2-service_a-1,100.20%,124.9MiB,256MiB,48.78%
2026-09-24T03:38:56-03:00,scenario_2-service_b-1,23.24%,110MiB,256MiB,42.98%
2026-09-24T03:39:01-03:00,scenario_2-service_a-1,100.12%,124.9MiB,256MiB,48.79%
2026-09-24T03:39:01-03:00,scenario_2-service_b-1,20.99%,109.7MiB,256MiB,42.86%
2026-09-24T03:39:07-03:00,scenario_2-service_a-1,100.10%,133MiB,256MiB,51.96%
2026-09-24T03:39:07-03:00,scenario_2-service_b-1,20.31%,109.8MiB,256MiB,42.89%
2026-09-24T03:39:12-03:00,scenario_2-service_a-1,100.53%,134.6MiB,256MiB,52.56%
2026-09-24T03:39:12-03:00,scenario_2-service_b-1,46.52%,110.3MiB,256MiB,43.09%
2026-09-24T03:39:17-03:00,scenario_2-service_a-1,99.85%,137.1MiB,256MiB,53.55%
2026-09-24T03:39:17-03:00,scenario_2-service_b-1,42.77%,111.7MiB,256MiB,43.63%
2026-09-24T03:39:22-03:00,scenario_2-service_a-1,100.34%,138.3MiB,256MiB,54.04%
2026-09-24T03:39:22-03:00,scenario_2-service_b-1,16.43%,111.5MiB,256MiB,43.55%
2026-09-24T03:39:27-03:00,scenario_2-service_a-1,101.06%,125.2MiB,256MiB,48.92%
2026-09-24T03:39:27-03:00,scenario_2-service_b-1,16.55%,111.9MiB,256MiB,43.71%
2026-09-24T03:39:32-03:00,scenario_2-service_a-1,99.92%,125.2MiB,256MiB,48.92%
2026-09-24T03:39:32-03:00,scenario_2-service_b-1,18.87%,111.4MiB,256MiB,43.50%
2026-09-24T03:39:37-03:00,scenario_2-service_a-1,100.21%,124.9MiB,256MiB,48.79%
2026-09-24T03:39:37-03:00,scenario_2-service_b-1,45.72%,111.5MiB,256MiB,43.55%
2026-09-24T03:39:42-03:00,scenario_2-service_a-1,100.14%,128.1MiB,256MiB,50.06%
2026-09-24T03:39:42-03:00,scenario_2-service_b-1,46.10%,112MiB,256MiB,43.77%
2026-09-24T03:39:47-03:00,scenario_2-service_a-1,100.35%,136.4MiB,256MiB,53.29%
2026-09-24T03:39:47-03:00,scenario_2-service_b-1,20.47%,111.4MiB,256MiB,43.50%
2026-09-24T03:39:52-03:00,scenario_2-service_a-1,99.56%,137.6MiB,256MiB,53.73%
2026-09-24T03:39:52-03:00,scenario_2-service_b-1,16.68%,111.7MiB,256MiB,43.64%
2026-09-24T03:39:57-03:00,scenario_2-service_a-1,20.83%,123.6MiB,256MiB,48.27%
2026-09-24T03:39:57-03:00,scenario_2-service_b-1,11.61%,120.6MiB,256MiB,47.10%
