timestamp,cpu_busy_percent,load1,cpu_mhz_mean,temp_max_c
2026-09-24T03:37:45-03:00,16.8,0.32,3730,68.0
2026-09-24T03:37:47-03:00,18.1,0.46,3387,66.0
2026-09-24T03:37:49-03:00,20.5,0.46,3788,65.0
2026-09-24T03:37:51-03:00,22.3,0.46,3700,74.0
2026-09-24T03:37:53-03:00,21.2,0.42,3700,78.0
2026-09-24T03:37:55-03:00,23.3,0.42,3806,67.0
2026-09-24T03:37:57-03:00,20.5,0.47,3841,65.0
2026-09-24T03:37:59-03:00,22.3,0.47,3813,72.0
2026-09-24T03:38:01-03:00,18.8,0.47,3461,64.0
2026-09-24T03:38:03-03:00,21.0,0.51,2567,65.0
2026-09-24T03:38:05-03:00,21.1,0.51,3443,65.0
2026-09-24T03:38:07-03:00,20.8,0.47,3700,74.0
2026-09-24T03:38:09-03:00,22.2,0.47,3797,71.0
2026-09-24T03:38:11-03:00,20.8,0.47,3839,71.0
2026-09-24T03:38:13-03:00,20.7,0.51,3400,67.0
2026-09-24T03:38:15-03:00,20.0,0.51,3723,79.0
2026-09-24T03:38:17-03:00,19.9,0.47,2980,65.0
2026-09-24T03:38:19-03:00,20.3,0.47,3379,65.0
2026-09-24T03:38:21-03:00,21.4,0.43,2983,67.0
2026-09-24T03:38:23-03:00,20.6,0.43,3700,74.0
2026-09-24T03:38:25-03:00,22.6,0.43,3700,74.0
2026-09-24T03:38:27-03:00,20.7,0.40,3825,69.0
2026-09-24T03:38:29-03:00,21.3,0.40,3847,70.0
2026-09-24T03:38:31-03:00,20.0,0.45,3796,78.0
2026-09-24T03:38:33-03:00,19.4,0.45,3789,65.0
2026-09-24T03:38:35-03:00,21.2,0.45,3279,64.0
2026-09-24T03:38:37-03:00,20.4,0.41,3882,66.0
2026-09-24T03:38:39-03:00,21.4,0.41,3397,66.0
2026-09-24T03:38:41-03:00,20.5,0.38,3700,71.0
2026-09-24T03:38:43-03:00,21.1,0.38,3700,76.0
2026-09-24T03:38:45-03:00,21.6,0.38,3823,70.0
2026-09-24T03:38:47-03:00,20.4,0.35,3765,81.0
2026-09-24T03:38:49-03:00,19.6,0.35,2981,70.0
2026-09-24T03:38:51-03:00,20.9,0.40,2555,67.0
2026-09-24T03:38:53-03:00,20.3,0.40,3883,67.0
2026-09-24T03:38:55-03:00,21.0,0.40,3399,64.0
2026-09-24T03:38:57-03:00,21.5,0.37,3700,71.0
2026-09-24T03:38:59-03:00,20.8,0.37,3700,75.0
2026-09-24T03:39:01-03:00,21.6,0.34,3842,70.0
2026-09-24T03:39:03-03:00,19.1,0.34,3773,77.0
2026-09-24T03:39:05-03:00,20.7,0.34,3377,70.0
2026-09-24T03:39:07-03:00,21.0,0.31,3452,68.0
2026-09-24T03:39:10-03:00,20.5,0.31,3845,67.0
2026-09-24T03:39:12-03:00,21.3,0.29,2555,66.0
2026-09-24T03:39:14-03:00,20.8,0.29,3800,69.0
2026-09-24T03:39:16-03:00,21.8,0.29,3700,74.0
2026-09-24T03:39:18-03:00,21.1,0.26,3700,73.0
2026-09-24T03:39:20-03:00,19.3,0.26,3732,75.0
2026-09-24T03:39:22-03:00,20.7,0.24,3347,70.0
2026-09-24T03:39:24-03:00,21.4,0.24,2980,73.0
2026-09-24T03:39:26-03:00,20.9,0.24,3842,65.0
2026-09-24T03:39:28-03:00,21.0,0.22,3805,67.0
2026-09-24T03:39:30-03:00,20.9,0.22,3027,65.0
2026-09-24T03:39:32-03:00,21.1,0.20,3700,75.0
2026-09-24T03:39:34-03:00,21.8,0.20,3700,80.0
2026-09-24T03:39:36-03:00,19.0,0.20,3779,68.0
2026-09-24T03:39:38-03:00,21.4,0.19,3836,67.0
2026-09-24T03:39:40-03:00,20.0,0.19,3843,70.0
2026-09-24T03:39:42-03:00,21.4,0.17,3371,73.0
2026-09-24T03:39:44-03:00,20.2,0.17,3374,65.0
2026-09-24T03:39:46-03:00,22.0,0.17,3420,65.0
2026-09-24T03:39:48-03:00,20.6,0.16,3438,69.0
2026-09-24T03:39:50-03:00,20.7,0.16,3700,82.0
2026-09-24T03:39:52-03:00,20.1,0.14,3850,69.0
2026-09-24T03:39:54-03:00,23.3,0.14,3857,70.0
2026-09-24T03:39:56-03:00,5.5,0.14,2573,61.0
2026-09-24T03:39:58-03:00,3.6,0.13,2123,61.0
2026-09-24T03:40:00-03:00,3.4,0.13,2605,64.0
