timestamp,phase,container,key,value
2026-09-24T04:02:53-03:00,end,service-a-566b9cc9dc-4wx4h/istio-proxy,nice_usec,0
2026-09-24T04:02:53-03:00,end,service-a-566b9cc9dc-4wx4h/istio-proxy,core_sched.force_idle_usec,0
2026-09-24T04:02:53-03:00,end,service-a-566b9cc9dc-4wx4h/istio-proxy,nr_periods,1499
2026-09-24T04:02:53-03:00,end,service-a-566b9cc9dc-4wx4h/istio-proxy,nr_throttled,0
2026-09-24T04:02:53-03:00,end,service-a-566b9cc9dc-4wx4h/istio-proxy,throttled_usec,0
2026-09-24T04:02:53-03:00,end,service-a-566b9cc9dc-4wx4h/istio-proxy,nr_bursts,0
2026-09-24T04:02:53-03:00,end,service-a-566b9cc9dc-4wx4h/istio-proxy,burst_usec,0
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/service-b,usage_usec,25372773
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/service-b,user_usec,21575188
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/service-b,system_usec,3797584
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/service-b,nice_usec,0
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/service-b,core_sched.force_idle_usec,0
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/service-b,nr_periods,1481
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/service-b,nr_throttled,6
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/service-b,throttled_usec,1171254
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/service-b,nr_bursts,0
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/service-b,burst_usec,0
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/istio-proxy,usage_usec,15523021
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/istio-proxy,user_usec,12819230
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/istio-proxy,system_usec,2703790
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/istio-proxy,nice_usec,0
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/istio-proxy,core_sched.force_idle_usec,0
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/istio-proxy,nr_periods,1502
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/istio-proxy,nr_throttled,0
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/istio-proxy,throttled_usec,0
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/istio-proxy,nr_bursts,0
2026-09-24T04:02:53-03:00,end,service-b-b9d464c6d-g8mrp/istio-proxy,burst_usec,0
