timestamp,pod,container,cpu_millicores,mem_mib
2026-09-24T02:56:47-03:00,service-a-79689f88cb-dv77g,service-a,410,116
2026-09-24T02:56:47-03:00,service-b-b9d464c6d-d8czv,service-b,286,99
2026-09-24T02:56:50-03:00,service-a-79689f88cb-dv77g,service-a,410,116
2026-09-24T02:56:50-03:00,service-b-b9d464c6d-d8czv,service-b,286,99
2026-09-24T02:56:53-03:00,service-a-79689f88cb-dv77g,service-a,410,116
2026-09-24T02:56:53-03:00,service-b-b9d464c6d-d8czv,service-b,286,99
2026-09-24T02:56:56-03:00,service-a-79689f88cb-dv77g,service-a,410,116
2026-09-24T02:56:56-03:00,service-b-b9d464c6d-d8czv,service-b,286,99
2026-09-24T02:56:59-03:00,service-a-79689f88cb-dv77g,service-a,410,116
2026-09-24T02:56:59-03:00,service-b-b9d464c6d-d8czv,service-b,286,99
2026-09-24T02:57:02-03:00,service-a-79689f88cb-dv77g,service-a,805,121
2026-09-24T02:57:02-03:00,service-b-b9d464c6d-d8czv,service-b,264,101
2026-09-24T02:57:05-03:00,service-a-79689f88cb-dv77g,service-a,805,121
2026-09-24T02:57:05-03:00,service-b-b9d464c6d-d8czv,service-b,264,101
2026-09-24T02:57:08-03:00,service-a-79689f88cb-dv77g,service-a,805,121
2026-09-24T02:57:08-03:00,service-b-b9d464c6d-d8czv,service-b,264,101
2026-09-24T02:57:11-03:00,service-a-79689f88cb-dv77g,service-a,805,121
2026-09-24T02:57:11-03:00,service-b-b9d464c6d-d8czv,service-b,264,101
2026-09-24T02:57:14-03:00,service-a-79689f88cb-dv77g,service-a,805,121
2026-09-24T02:57:14-03:00,service-b-b9d464c6d-d8czv,service-b,264,101
2026-09-24T02:57:17-03:00,service-a-79689f88cb-dv77g,service-a,996,123
2026-09-24T02:57:17-03:00,service-b-b9d464c6d-d8czv,service-b,264,101
2026-09-24T02:57:20-03:00,service-a-79689f88cb-dv77g,service-a,996,123
2026-09-24T02:57:20-03:00,service-b-b9d464c6d-d8czv,service-b,264,101
